alan,durum,kullanım,sınıf
ogr.edu.tr,güvenli,kurumsal,iyi
outlook.com,güvenli,kişisel,orta
optonline.net,güvenli,kurumsal,iyi
gmail.com,güvenli,kişisel,orta
testmail.xyz,spam,kişisel,kötü
live.com,güvenli,kişisel,orta
sequan.info,spam,kurumsal,kötü
verizon.net,güvenli,kurumsal,iyi
globalfinance.org,güvenli,kurumsal,iyi
example.eg,spam,kurumsal,kötü
vsprint.cc,spam,kişisel,kötü
hotmail.com,güvenli,kişisel,orta
yahoo.com,güvenli,kişisel,orta
msn.com,güvenli,kişisel,orta
kafein.ss,spam,kurumsal,kötü
agency.co,güvenli,kurumsal,iyi
github.com,güvenli,kişisel,orta


